asset_id,filename,asset_type,tool,model_version,prompt_ref,seed,key_parameters,date_created,human_edits,final_use,source_link
A30,"Reactor_housing_product_shot_202608181644.mp4",video_clip,"Google Flow","Veo 3.1",P18-P26,TODO_SEED,"image-to-video",2026-08-18,"edited in DaVinci Resolve",video edit,https://labs.google/fx/tools/flow/shared/video/fd5d2b02-4b0c-4549-9be5-d989dbc2e74e
A31,"Reactor_product_reveal_in_studio_202608181642.mp4",video_clip,"Google Flow","Veo 3.1",P18-P26,TODO_SEED,"image-to-video",2026-08-18,"edited in DaVinci Resolve",video edit,TODO link not provided
A32,"Truck_moving_left_202608181641.mp4",video_clip,"Google Flow","Veo 3.1",P18-P26,TODO_SEED,"image-to-video",2026-08-18,"edited in DaVinci Resolve",video edit,https://labs.google/fx/tools/flow/shared/video/d2434523-3f4a-427c-bed9-d207a7c600d6
A33,"Untitled_Scene_08-18_01_47_21_202608181642.mp4",video_clip,"Google Flow","Veo 3.1 - Lite",P17,TODO_SEED,"image-to-video",2026-08-18,"edited in DaVinci Resolve",video edit,https://labs.google/fx/tools/flow/shared/video/6787f5b7-6d7a-45e4-a610-89833c68a4f6
A34,"ElevenLabs_2026-08-14T22_51_07_Louis - Deep, Profound and Thoughtful_pvc_sp115_s36_sb75_se49_b_m2.mp3",voiceover,"ElevenLabs","Eleven Multilingual v2",P27,n/a,"voice=Louis; Speed=1.15 Stab=36 Sim=75 Style=49",2026-08-14,none,"audition (not selected)",https://elevenlabs.io
A35,"ElevenLabs_2026-08-14T22_54_12_Jackson - American Tech Sales Rep_pvc_sp120_s45_sb75_se20_b_m2.mp3",voiceover,"ElevenLabs","Eleven Multilingual v2",P27,n/a,"voice=Jackson; Speed=1.20 Stab=45 Sim=75 Style=20",2026-08-14,none,"audition (not selected)",https://elevenlabs.io
A36,"ElevenLabs_2026-08-14T23_00_00_Kal Jones - Deep, Smokey and Reliable_pvc_sp110_s50_sb75_se45_b_m2.mp3",voiceover,"ElevenLabs","Eleven Multilingual v2",P27,n/a,"voice=Kal Jones; Speed=1.1 Stab=50 Sim=75 Style=45 SpeakerBoost=on",2026-08-14,"pronunciation-adjusted script","FINAL VO — used in video",https://elevenlabs.io
A37,"ElevenLabs_2026-08-14T23_04_10_Louis - Deep, Profound and Thoughtful_pvc_sp95_s60_sb80_se35_b_m2.mp3",voiceover,"ElevenLabs","Eleven Multilingual v2",P27,n/a,"voice=Louis; Speed=0.95 Stab=60 Sim=80 Style=35",2026-08-14,none,"audition (not selected)",https://elevenlabs.io
A38,"3_output_resource/audio/Horizon Ignition.mp3",music,"Suno","v4.5-all",P28,n/a,"style=cinematic, industrial, sci-fi; instrumental",2026-08-14,none,"background score (FINAL)",https://suno.com/s/HaPD80oWOXjlTFs0
A39,"1_artwork_prototype/video/Nano_Reactor_FINAL_spot.mov",final_video,"DaVinci Resolve (edit) + Google Flow clips","Veo 3.1 / Omni Flash source",P17-P26,n/a,"1920x1080; 30.5s; H.264/.mov",2026-08-18,"hand-edited: cut, sequence, color, synced to VO + Suno music","FINAL VIDEO SPOT",https://youtu.be/n1xZHRJyDmg
